Time(Sec),P(W/cm2)
0,0.4364563
1,0.4371704
2,0.437845
3,0.4386385
4,0.4392733
5,0.4399081
6,0.4404635
7,0.441019
8,0.4414554
9,0.4418918
10,0.442368
11,0.442725
12,0.4431217
13,0.4433995
14,0.4436772
15,0.443955
16,0.444193
17,0.4444311
18,0.4446691
19,0.4448278
20,0.4455817
21,0.4457801
22,0.4458991
23,0.4460181
24,0.4461371
25,0.4462165
26,0.4463355
27,0.4464148
28,0.4465339
29,0.4465735
30,0.4466925
31,0.4467322
32,0.4468116
33,0.4468513
34,0.4469306
35,0.4469703
36,0.4470496
37,0.4470496
38,0.447129
39,0.447129
40,0.4471687
41,0.4472083
42,0.4471687
43,0.4471687
44,0.4472083
45,0.4471687
46,0.447129
47,0.447129
48,0.447129
49,0.4470893
50,0.4464148
51,0.4463752
52,0.4463752
53,0.4463355
54,0.4462958
55,0.4462561
56,0.4461768
57,0.4461768
58,0.4460974
59,0.4460974
60,0.4467719
61,0.4467322
62,0.4467322
63,0.4466925
64,0.4466529
65,0.4466529
66,0.4466132
67,0.4466132
68,0.4466132
69,0.4465735
70,0.4466132
71,0.4465735
72,0.4465735
73,0.4465735
74,0.4465339
75,0.4464942
76,0.4464545
77,0.4464545
78,0.4464148
79,0.4463751
80,0.4459784
81,0.445899
82,0.4458594
83,0.4458197
84,0.4457403
85,0.4457006
86,0.445661
87,0.4456213
88,0.445542
89,0.4455023
90,0.4458594
91,0.4457801
92,0.4457403
93,0.4457007
94,0.445661
95,0.4456213
96,0.445542
97,0.445542
98,0.4454626
99,0.4454626
100,0.4453833
101,0.4453436
102,0.4452643
103,0.4452643
104,0.4452643
105,0.4452246
106,0.4452246
107,0.4452246
108,0.4451849
109,0.4451849
110,0.4451452
111,0.4451452
112,0.4451055
113,0.4451452
114,0.4451055
115,0.4451055
116,0.4451055
117,0.4451055
118,0.4451055
119,0.4451055
120,0.4450659
121,0.4450659
122,0.4450659
123,0.4450659
124,0.4450659
125,0.4450262
126,0.4449865
127,0.4449865
128,0.4449865
129,0.4449469
130,0.4449072
131,0.4449072
132,0.4449072
133,0.4448675
134,0.4447881
135,0.4447088
136,0.4447088
137,0.4446691
138,0.4446294
139,0.4445898
140,0.4438756
141,0.4438359
142,0.4437962
143,0.4437169
144,0.4436772
145,0.4436772
146,0.4436375
147,0.4435979
148,0.4435582
149,0.4435185
150,0.444193
151,0.4441533
152,0.4441137
153,0.4441137
154,0.4441137
155,0.4441137
156,0.444074
157,0.444074
158,0.444074
159,0.4440343
160,0.4440343
161,0.4440343
162,0.4440343
163,0.4439946
164,0.4440343
165,0.4440343
166,0.4440343
167,0.4440343
168,0.444074
169,0.4440343
170,0.4433598
171,0.4433598
172,0.4433598
173,0.4433201
174,0.4433201
175,0.4433201
176,0.4433201
177,0.4433201
178,0.4433201
179,0.4432805
180,0.4439549
181,0.4439153
182,0.4439153
183,0.4438756
184,0.4438756
185,0.4437963
186,0.4437566
187,0.4437566
188,0.4437169
189,0.4436772
190,0.4429234
191,0.4428838
192,0.4428838
193,0.4428043
194,0.4427647
195,0.4427647
196,0.4427647
197,0.442725
198,0.4426853
199,0.4426853
200,0.4431614
201,0.4431218
202,0.4431218
203,0.4431218
204,0.4431218
205,0.4430821
206,0.4430821
207,0.4430821
208,0.4430821
209,0.4430821
210,0.4432805
211,0.4432805
212,0.4432805
213,0.4432805
214,0.4432805
215,0.4432805
216,0.4432805
217,0.4432805
218,0.4432805
219,0.4433201
220,0.4433201
221,0.4432805
222,0.4432805
223,0.4432408
224,0.4432408
225,0.4432011
226,0.4431218
227,0.4432011
228,0.4432011
229,0.4431218
230,0.4431218
231,0.4430821
232,0.4430821
233,0.4430424
234,0.4430424
235,0.4430028
236,0.4429631
237,0.4429631
238,0.4429631
239,0.4429234
240,0.4422489
241,0.4422489
242,0.4422489
243,0.4422489
244,0.4422489
245,0.4422093
246,0.4421696
247,0.4421696
248,0.4421696
249,0.4421696
250,0.442487
251,0.442487
252,0.442487
253,0.442487
254,0.4424472
255,0.442487
256,0.4424472
257,0.4424472
258,0.4424472
259,0.4424076
260,0.4424076
261,0.4423679
262,0.4423679
263,0.4423679
264,0.4423679
265,0.4423282
266,0.4423679
267,0.4423282
268,0.4423282
269,0.4422886
270,0.4426457
271,0.4426457
272,0.4426457
273,0.4426457
274,0.442606
275,0.442606
276,0.4423679
277,0.4423679
278,0.4424076
279,0.4423679
280,0.4423679
281,0.4423283
282,0.4423679
283,0.4423679
284,0.4423283
285,0.4423283
286,0.4423283
287,0.4423283
288,0.4426457
289,0.442606
290,0.4426457
291,0.442606
292,0.4426457
293,0.4426457
294,0.4426457
295,0.4426457
296,0.4426457
297,0.442606
